"Year","Type of  Summary","Summary","Native American","Asian","Black","Hispanic/Latinx","White","Multi-racial","Unknown","Total"
"2022","Tester Summary","Distribution of Testers, by Ethnicity","0.90%","31.00%","20.70%","25.80%","17.10%","1.80%","2.80%","100.00%"
"2022","Offer Summary","Brooklyn Technical High School (13K430)","6","772","56","85","458","46","75","1,498"
"2022","Offer Summary","High School for Mathematics, Science and Engineering at City College (HSMSE)","0","40","5","12","65","11","19","152"
"2022","Offer Summary","High School of American Studies at Lehman College (10X696)","1","22","7","14","68","6","13","131"
"2022","Offer Summary","Queens High School for the Sciences at York College (28Q687)","3","96","5","5","7","3","2","121"
"2022","Offer Summary","Staten Island Technical High School (31R605)","0","154","0","5","111","6","10","286"
"2022","Offer Summary","Stuyvesant High School (02M475)","3","507","11","23","118","37","57","756"
"2022","Offer Summary","The Bronx High School of Science (10X445)","6","394","19","47","171","31","54","722"
"2022","Offer Summary","The Brooklyn Latin School (14K449)","4","143","28","42","128","17","25","387"
"2022","Offer Summary","Total Offer","23","2,128","131","233","1,126","157","255","4,053"
"2022","Offer Summary","Distribution of Total SHSAT Offers, by Ethnicity","0.60%","52.50%","3.20%","5.70%","27.80%","3.90%","6.30%","100%"
"2022","Discovery Summary","Discovery Participants","8","509","99","172","62","5","0","855"
"2022","Discovery Summary","Distribution of Discovery Participants","0.90%","59.50%","11.60%","20.10%","7.30%","0.60%","0.00%","100%"
"2023","Tester Summary","Total Testers","257","8326","4905","6807","4522","463","679","25959"
"2023","Tester Summary","Distribution of Testers, by Ethnicity","0.99%","32.07%","18.90%","26.22%","17.42%","1.78%","2.62%","100.00%"
"2023","Offer Summary","Brooklyn Technical High School (13K430)","14","730","37","97","429","39","75","1421"
"2023","Offer Summary","High School for Mathematics, Science and Engineering at City College (HSMSE) (05M692)","1","41","13","20","78","7","14","174"
"2023","Offer Summary","High School of American Studies at Lehman College (10X696)","0","20","2","20","51","8","14","115"
"2023","Offer Summary","Queens High School for the Sciences at York College (28Q687)","3","88","3","8","9","3","2","116"
"2023","Offer Summary","Staten Island Technical High School (31R605)","1","182","2","7","81","3","11","287"
